Code,Name,Symptoms,Treatments
1,Panic disorder,"palpitations, sweating, trembling, shortness of breath, fear of losing control, dizziness","antidepressant medications, cognitive behavioral therapy, relaxation techniques"
2,Vocal cord polyp,"hoarseness, vocal changes, vocal fatigue","voice rest, speech therapy, surgical removal"
3,Turner syndrome,"short stature, gonadal dysgenesis, webbed neck, lymphedema","growth hormone therapy, estrogen replacement therapy, cardiac and renal evaluations"
4,Cryptorchidism,"absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)","observation and monitoring (in cases of mild or transient cryptorchidism), hormone therapy (to stimulate testicular descent), surgical intervention (orchiopexy) to reposition the testicle(s) into the scrotum, if necessary, performed around the age of 6 to 12 months, open or laparoscopic surgery (in cases of high or persistent cryptorchidism), testicular prostheses (in cases of absent or non-functional testicles), regular follow-up visits with a urologist or pediatric surgeon"
5,Ethylene glycol poisoning-1,"nausea, vomiting, abdominal pain, general malaise, weakness, increased thirst, frequent urination","supportive measures, gastric decontamination, antidote administration, hemodialysis"
6,Ethylene glycol poisoning-2,"metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures","blood tests, supportive measures, gastric decontamination, antidote administration, hemodialysis"
7,Ethylene glycol poisoning-3,"decreased urine output, swelling in the legs and ankles, and signs of fluid overload, severe kidney damage","supportive measures, gastric decontamination, antidote administration, hemodialysis"
8,Atrophic vaginitis,"vaginal dryness, vaginal burning, frequent urination, urinary tract infections, painful intercourse","vaginal moisturizers, vaginal estrogen therapy, lifestyle modifications"
9,Fracture,"pain, swelling, bruising, deformity, difficulty moving, loss of function","immobilization, surgery, rehabilitation"
10,Cellulitis,"redness, pain, tenderness, swelling, skin changes, lymph node enlargement","antibiotics, warm compresses, immobilization, rest, pain management"
11,Eye alignment disorder,"double vision, eye fatigue, poor depth perception, head tilting","glasses, patching therapy, vision therapy, botox injections, surgical intervention"
12,Headache after lumbar puncture,throbbing headache,"epidural blood patch, conservative measures"
13,Pyloric stenosis,"persistent hunger, weight loss, dehydration, visible peristalsis, palpable mass, fussiness","ultrasound, blood tests, pyloromyotomy"
14,Adenoid cystic carcinoma,"lump, swelling, facial numbness, tingling","surgery, radiation therapy"
15,Pleomorphic adenoma,"painless lump or swelling, facial changes",surgical excision
16,Warthin tumor,"painless lump or swelling, facial changes",surgical excision
17,Mucoepidermoid carcinoma,"lump, swelling, difficulty, pain when swallowing and speaking, facial weakness, facial paralysis","surgery, radiation therapy"
18,Acinic cell carcinoma,"lump, swelling, facial changes","surgery, radiation therapy"
19,Mucocele,painless fluid-filled swelling in the oral cavity,"observation, surgical removal if necessary"
20,Osteochondrosis,"joint pain, stiffness, swelling, reduced range of motion","physical therapy, pain medications, rest, surgery"
21,Sialolithiasis,"swelling, pain, tenderness, difficulty eating","warm compresses, saliva stimulation, sialagogues, stone removal"
22,Submandibular stones,"swelling, pain, dry mouth, bad taste","hydration,saliva stimulation, stone removal"
23,Parotid stones,"swelling, pain, dry mouth, bad taste","hydration,saliva stimulation, stone removal"
24,Recurrent salivary stones,frequent episodes of stone formation,"hydration,saliva stimulation, stone removal"
25,Wharton's duct stones,"swelling, pain, dry mouth, bad taste","hydration,saliva stimulation, stone removal"
26,Mumps,"swollen salivary glands (usually parotid), fever, headache, fatigue","supportive care, pain relievers, isolation, vaccination (mmr)"
27,Ludwig's angina,"severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling","intravenous antibiotics, airway management, surgical drainage"
28,Mucocele,"painless swelling, usually on the lower lip or floor of the mouth","observation, surgical removal if necessary"
29,Abscess,"swelling, pain, redness, fever, pus formation","antibiotics, surgical drainage"
30,Sjögren's syndrome,"dry mouth and eyes, fatigue, joint pain, dry skin","symptomatic relief with artificial tears, saliva substitutes, frequent sips of water, medications to stimulate saliva production, immune-modulating drugs"
31,Open-Angle Glaucoma,"gradual loss of peripheral vision, tunnel vision","eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
32,Angle-Closure Glaucoma,"severe eye pain, headache, blurred vision, halos around lights, nausea and vomiting","medications (e.g., oral or intravenous acetazolamide, topical beta blockers, alpha agonists, prostaglandin analogs), laser peripheral iridotomy, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
33,Normal-Tension Glaucoma,"gradual loss of vision, visual field defects","eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
34,Congenital Glaucoma,"cloudy or hazy eyes, excessive tearing, sensitivity to light","surgery (e.g., trabeculotomy, goniotomy) to create a new drainage pathway, medications to reduce intraocular pressure"
35,Secondary Glaucoma,varies depending on the underlying cause,"treatment of the underlying condition (e.g., medication adjustments, surgery, trauma management, tumor removal, inflammation control)"
36,Pigmentary Glaucoma,"blurred vision, halos around lights, eye pain","eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
37,Exfoliation Glaucoma,"elevated intraocular pressure, visual field loss","eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
38,Ocular Hypertension,elevated intraocular pressure without optic nerve damage,"observation with regular eye exams, use of eye drops to lower intraocular pressure (if necessary)"
39,Low-Tension Glaucoma,"gradual loss of vision, visual field defects","eye drops to lower intraocular pressure (e.g., prostaglandin analogs, beta blockers, alpha agonists, carbonic anhydrase inhibitors), oral medications (e.g., carbonic anhydrase inhibitors), laser trabeculoplasty, surgical procedures (e.g., trabeculectomy, glaucoma drainage implants)"
40,Anorexia Nervosa,"extreme weight loss, fear of gaining weight, distorted body image","medical monitoring, nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medications (in some cases), hospitalization (for severe cases), support groups"
41,Bulimia Nervosa,recurrent episodes of binge eating followed by purging behaviors,"psychotherapy (such as cognitive-behavioral therapy or dialectical behavior therapy), nutritional counseling, medications (in some cases), support groups"
42,Binge Eating Disorder,recurrent episodes of binge eating without compensatory behaviors,"psychotherapy (such as cognitive-behavioral therapy or interpersonal therapy), nutritional counseling, medications (in some cases), support groups"
43,Avoidant/Restrictive Food Intake Disorder (ARFID),"avoidance or restriction of certain foods or entire food groups, significant weight loss or failure to gain weight","nutritional counseling, psychotherapy (such as cognitive-behavioral therapy or family-based therapy), medical monitoring, exposure therapy, occupational therapy"
44,Other Specified Feeding or Eating Disorder (OSFED),symptoms that do not meet the full criteria for a specific eating disorder,"treatment is based on the specific symptoms and can include a combination of psychotherapy, nutritional counseling, medical monitoring, and medications as necessary"
45,Orthorexia Nervosa,"obsessive focus on ""clean"" eating, healthy food choices","psychotherapy (such as cognitive-behavioral therapy or acceptance and commitment therapy), nutrition education, challenging distorted beliefs, addressing underlying issues"
46,Pica,persistent consumption of non-food substances,"behavioral therapy, addressing underlying nutritional deficiencies, addressing any medical complications, family support"
47,Rumination Disorder,repeated regurgitation and re-chewing of food,"behavioral therapy (such as diaphragmatic breathing techniques), biofeedback, addressing any underlying psychological or medical conditions, dietary modifications"
48,Transient ischemic attack,sudden onset of neurological symptoms that resolve within 24 hours,"antiplatelet medications, carotid endarterectomy,  anticoagulant medications, lifestyle modifications"
49,Pyelonephritis,"fever, chills, back or flank pain, frequent urination","antibiotics (such as fluoroquinolones, cephalosporins, or trimethoprim-sulfamethoxazole) to target the specific bacteria causing the infection, adequate hydration, pain management (such as over-the-counter pain relievers or prescription medications), hospitalization (for severe cases or complications), urine culture to guide antibiotic therapy"
50,Rotator Cuff Injury,"shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness","non-surgical treatment options: rest, ice or heat therapy, pain medications, physical therapy exercises, arthroscopic surgery"
51,Fibromyalgia,"widespread musculoskeletal pain, fatigue, sleep disturbances","medications (such as pain relievers, antidepressants, anticonvulsants), physical therapy, cognitive-behavioral therapy, stress management techniques, exercise, relaxation techniques, good sleep hygiene"
52,Chronic Fatigue Syndrome,"extreme fatigue, cognitive difficulties, unrefreshing sleep","symptom management (such as medications to address pain, sleep disturbances, and other symptoms), graded exercise therapy, cognitive-behavioral therapy, sleep management techniques, pacing and energy conservation, stress reduction techniques, nutritional support, medications for specific symptoms"
53,Complex Regional Pain Syndrome (CRPS),"severe and persistent pain, changes in skin color or temperature, swelling, stiffness","medications (such as pain relievers, corticosteroids, anticonvulsants), physical therapy, sympathetic nerve blocks, spinal cord stimulation, occupational therapy, mirror therapy, psychotherapy, graded motor imagery, stress management techniques"
54,Myofascial Pain Syndrome,"localized muscle pain, trigger points","physical therapy, trigger point injections, dry needling, medications (such as pain relievers, muscle relaxants), relaxation techniques, stress management, massage therapy, myofascial release, heat or cold therapy"
55,Chronic Migraine,"recurrent, disabling migraines","medications (such as preventive medications, pain relievers, triptans), lifestyle modifications (such as identifying triggers, stress management, regular sleep patterns), relaxation techniques, biofeedback, cognitive-behavioral therapy, nerve blocks, botox injections, neuromodulation devices, acupuncture"
56,Neuropathic Pain,"shooting or burning pain, tingling or numbness","medications (such as antidepressants, anticonvulsants, topical treatments), nerve blocks, spinal cord stimulation, physical therapy, occupational therapy, transcutaneous electrical nerve stimulation (tens), acupuncture, cognitive-behavioral therapy, relaxation techniques"
57,Gestational Diabetes,high blood sugar levels during pregnancy,"blood sugar monitoring, healthy diet modifications, regular exercise, insulin injections (if needed), close monitoring by healthcare provider"
58,Pregnancy-Induced Hypertension,high blood pressure during pregnancy,"monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider"
59,Gestational Hypertension,high blood pressure without proteinuria (preeclampsia),"monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider"
60,Preeclampsia,"high blood pressure, proteinuria, swelling, headaches, visual disturbances","bed rest, blood pressure monitoring, frequent prenatal visits, medication (such as antihypertensive drugs), magnesium sulfate (for severe cases), delivery of the baby (in severe cases)"
61,Hyperemesis Gravidarum,severe nausea and vomiting during pregnancy,"intravenous fluids to prevent dehydration, anti-nausea medications, nutritional support, rest, monitoring for weight loss and electrolyte imbalance"
62,Urinary Tract Infection (UTI),"painful urination, frequent urination, pelvic pain, cloudy urine","antibiotics safe for pregnancy, increased fluid intake, maintaining good hygiene, urine culture and sensitivity testing to guide antibiotic selection"
63,Anemia,"fatigue, weakness, pale skin, shortness of breath","iron supplementation, dietary changes (iron-rich foods), managing underlying causes (such as treating iron deficiency or vitamin b12 deficiency), prenatal vitamins"
64,Pregnancy-Related Back Pain,"lower back pain, discomfort in the pelvic area","prenatal exercises (such as stretching and strengthening exercises), good posture, heat or cold therapy, prenatal massages, supportive devices (such as pregnancy belts), physical therapy"
65,Round Ligament Pain,sharp or aching pain in the lower abdomen or groin,"resting, changing positions slowly, warm compresses, gentle stretching, avoiding sudden movements"
66,Placenta Previa,"vaginal bleeding, painless bleeding in the third trimester","bed rest, avoiding strenuous activity, frequent prenatal check-ups, potential hospitalization, potential cesarean delivery"
67,Carpal Tunnel Syndrome,"tingling, numbness, and pain in the hand and fingers","wrist splints, avoiding repetitive hand movements, applying cold or hot compresses, gentle exercises, ergonomic adjustments"
68,Sciatica,"sharp pain, tingling, or numbness that radiates from the lower back through the hips and down the leg","rest, gentle stretching exercises, warm or cold compresses, prenatal massages, maintaining good posture, avoiding activities that worsen the pain"
69,Varicose Veins,"enlarged, swollen veins, often in the legs","elevating legs, wearing compression stockings, regular exercise, avoiding prolonged sitting or standing, maintaining a healthy weight"
70,Hemorrhoids,"swollen, itchy, or painful veins in the rectal area","increasing fiber intake, staying hydrated, avoiding straining during bowel movements, warm sitz baths, topical creams or ointments, over-the-counter pain relievers (after consulting with a healthcare provider)"
72,Liver Cancer,"abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","surgery, radiation therapy, chemotherapy, targeted therapy, immunotherapy, radiofrequency ablation, transarterial chemoembolization (tace), selective internal radiation therapy (sirt), palliative care, clinical trials"
73,Atelectasis,"difficulty breathing, rapid breathing, chest pain","treatment of the underlying cause (such as removal of airway obstruction, treatment of lung infection), deep breathing exercises, coughing techniques, incentive spirometry, chest physiotherapy, bronchodilator medications, supplemental oxygen therapy"
74,Ectopic Pregnancy,"vaginal bleeding, abdominal pain or cramping, shoulder pain (if the fallopian tube ruptures)","immediate medical attention, potential medical procedures (such as medication or surgery to remove the ectopic pregnancy), close monitoring, emotional support"
75,Choledocholithiasis,"abdominal pain (often in the upper right quadrant), jaundice, dark urine, pale stools, nausea, vomiting, endoscopic retrograde cholangiopancreatography (ercp) with stone removal, sphincterotomy, cholecystectomy","non-surgical treatment options: medications to manage pain and discomfort, antibiotics"
